Time,ICCID(SIM ID),Arbitrary Column,Connection Event,Bytes Used,NodeID
2022-03-11 01:40:25.898061,1111111111,xyz,Connected,0,A000001
2022-03-11 01:40:25.898061,2222222222,xyz,Connected,0,A000002
2022-03-11 01:40:25.898061,3333333333,xyz,Connected,0,A000003
2022-03-11 01:40:25.898061,4444444444,xyz,Connected,0,A000004
2022-03-11 01:40:25.898061,5555555555,xyz,Connected,0,A000005
2022-03-11 01:40:25.902051,1111111111,xyz,Disconnected,2000,A000001
2022-03-11 01:40:25.902051,2222222222,xyz,Disconnected,2000,A000002
2022-03-11 01:40:25.902051,3333333333,xyz,Disconnected,2000,A000003
2022-03-11 01:40:25.902051,4444444444,xyz,Disconnected,2000,A000004
2022-03-11 01:40:25.902051,5555555555,xyz,Disconnected,2000,A000005
2022-03-11 01:40:25.904033,1111111111,xyz,Connected,0,A000001
2022-03-11 01:40:25.904033,2222222222,xyz,Connected,0,A000002
2022-03-11 01:40:25.904033,3333333333,xyz,Connected,0,A000003
2022-03-11 01:40:25.904126,4444444444,xyz,Connected,0,A000004
2022-03-11 01:40:25.904126,5555555555,xyz,Connected,0,A000005
2022-03-11 01:40:25.908040,1111111111,xyz,Disconnected,2000,A000001
2022-03-11 01:40:25.908040,2222222222,xyz,Disconnected,2000,A000002
2022-03-11 01:40:25.908040,3333333333,xyz,Disconnected,2000,A000003
2022-03-11 01:40:25.908040,4444444444,xyz,Disconnected,2000,A000004
2022-03-11 01:40:25.908040,5555555555,xyz,Disconnected,2000,A000005
2022-03-11 01:40:25.909640,1111111111,xyz,Connected,0,A000001
2022-03-11 01:40:25.909640,2222222222,xyz,Connected,0,A000002
2022-03-11 01:40:25.909640,3333333333,xyz,Connected,0,A000003
2022-03-11 01:40:25.909640,4444444444,xyz,Connected,0,A000004
2022-03-11 01:40:25.909640,5555555555,xyz,Connected,0,A000005
2022-03-11 01:40:25.911651,1111111111,xyz,Disconnected,2000,A000001
2022-03-11 01:40:25.911651,2222222222,xyz,Disconnected,2000,A000002
2022-03-11 01:40:25.911651,3333333333,xyz,Disconnected,2000,A000003
2022-03-11 01:40:25.911651,4444444444,xyz,Disconnected,2000,A000004
2022-03-11 01:40:25.911651,5555555555,xyz,Disconnected,2000,A000005
2022-03-11 01:40:25.913640,1111111111,xyz,Connected,0,A000001
2022-03-11 01:40:25.913640,2222222222,xyz,Connected,0,A000002
2022-03-11 01:40:25.913640,3333333333,xyz,Connected,0,A000003
2022-03-11 01:40:25.913640,4444444444,xyz,Connected,0,A000004
2022-03-11 01:40:25.913640,5555555555,xyz,Connected,0,A000005
2022-03-11 01:40:25.917625,1111111111,xyz,Disconnected,2000,A000001
2022-03-11 01:40:25.917625,2222222222,xyz,Disconnected,2000,A000002
