Time,ICCID(SIM ID),Arbitrary Column,Connection Event,Bytes Used,NodeID
2022-03-11 02:24:51.782959,1111111111,xyz,Connected,0,A000001
2022-03-11 02:24:51.782959,2222222222,xyz,Connected,0,A000002
2022-03-11 02:24:51.782959,3333333333,xyz,Connected,0,A000003
2022-03-11 02:24:51.782959,4444444444,xyz,Connected,0,A000004
2022-03-11 02:24:51.782959,5555555555,xyz,Connected,0,A000005
2022-03-11 02:24:51.786945,1111111111,xyz,Disconnected,2000,A000001
2022-03-11 02:24:51.786945,2222222222,xyz,Disconnected,2000,A000002
2022-03-11 02:24:51.786945,3333333333,xyz,Disconnected,2000,A000003
2022-03-11 02:24:51.786945,4444444444,xyz,Disconnected,2000,A000004
2022-03-11 02:24:51.786945,5555555555,xyz,Disconnected,2000,A000005
2022-03-11 02:24:51.788938,1111111111,xyz,Connected,0,A000001
2022-03-11 02:24:51.788938,2222222222,xyz,Connected,0,A000002
2022-03-11 02:24:51.788938,3333333333,xyz,Connected,0,A000003
2022-03-11 02:24:51.788938,4444444444,xyz,Connected,0,A000004
2022-03-11 02:24:51.788938,5555555555,xyz,Connected,0,A000005
2022-03-11 02:24:51.792927,1111111111,xyz,Disconnected,2000,A000001
2022-03-11 02:24:51.792927,2222222222,xyz,Disconnected,2000,A000002
2022-03-11 02:24:51.792927,3333333333,xyz,Disconnected,2000,A000003
2022-03-11 02:24:51.792927,4444444444,xyz,Disconnected,2000,A000004
2022-03-11 02:24:51.792927,5555555555,xyz,Disconnected,2000,A000005
2022-03-11 02:24:51.794923,1111111111,xyz,Connected,0,A000001
2022-03-11 02:24:51.794923,2222222222,xyz,Connected,0,A000002
2022-03-11 02:24:51.794923,3333333333,xyz,Connected,0,A000003
2022-03-11 02:24:51.794923,4444444444,xyz,Connected,0,A000004
2022-03-11 02:24:51.794923,5555555555,xyz,Connected,0,A000005
2022-03-11 02:24:51.798973,1111111111,xyz,Disconnected,2000,A000001
2022-03-11 02:24:51.798973,2222222222,xyz,Disconnected,2000,A000002
2022-03-11 02:24:51.798973,3333333333,xyz,Disconnected,2000,A000003
2022-03-11 02:24:51.798973,4444444444,xyz,Disconnected,2000,A000004
2022-03-11 02:24:51.798973,5555555555,xyz,Disconnected,2000,A000005
2022-03-11 02:24:51.799973,1111111111,xyz,Connected,0,A000001
2022-03-11 02:24:51.799973,2222222222,xyz,Connected,0,A000002
2022-03-11 02:24:51.799973,3333333333,xyz,Connected,0,A000003
2022-03-11 02:24:51.799973,4444444444,xyz,Connected,0,A000004
2022-03-11 02:24:51.799973,5555555555,xyz,Connected,0,A000005
2022-03-11 02:24:51.803954,1111111111,xyz,Disconnected,2000,A000001
2022-03-11 02:24:51.803954,2222222222,xyz,Disconnected,2000,A000002
2022-03-11 02:24:51.803954,3333333333,xyz,Disconnected,2000,A000003
2022-03-11 02:24:51.803954,4444444444,xyz,Disconnected,2000,A000004
2022-03-11 02:24:51.803954,5555555555,xyz,Disconnected,2000,A000005
2022-03-11 02:24:51.805948,1111111111,xyz,Connected,0,A000001
2022-03-11 02:24:51.805948,2222222222,xyz,Connected,0,A000002
2022-03-11 02:24:51.805948,3333333333,xyz,Connected,0,A000003
2022-03-11 02:24:51.805948,4444444444,xyz,Connected,0,A000004
2022-03-11 02:24:51.805948,5555555555,xyz,Connected,0,A000005
2022-03-11 02:24:51.809912,1111111111,xyz,Disconnected,2000,A000001
2022-03-11 02:24:51.809912,2222222222,xyz,Disconnected,2000,A000002
2022-03-11 02:24:51.809912,3333333333,xyz,Disconnected,2000,A000003
2022-03-11 02:24:51.809912,4444444444,xyz,Disconnected,2000,A000004
2022-03-11 02:24:51.809912,5555555555,xyz,Disconnected,2000,A000005
2022-03-11 02:24:51.811867,1111111111,xyz,Connected,0,A000001
2022-03-11 02:24:51.811867,2222222222,xyz,Connected,0,A000002
2022-03-11 02:24:51.811867,3333333333,xyz,Connected,0,A000003
2022-03-11 02:24:51.811867,4444444444,xyz,Connected,0,A000004
2022-03-11 02:24:51.811867,5555555555,xyz,Connected,0,A000005
2022-03-11 02:24:51.815888,1111111111,xyz,Disconnected,2000,A000001
2022-03-11 02:24:51.815888,2222222222,xyz,Disconnected,2000,A000002
2022-03-11 02:24:51.815888,3333333333,xyz,Disconnected,2000,A000003
2022-03-11 02:24:51.815888,4444444444,xyz,Disconnected,2000,A000004
2022-03-11 02:24:51.815888,5555555555,xyz,Disconnected,2000,A000005
2022-03-11 02:24:51.817909,1111111111,xyz,Connected,0,A000001
2022-03-11 02:24:51.817909,2222222222,xyz,Connected,0,A000002
2022-03-11 02:24:51.817909,3333333333,xyz,Connected,0,A000003
2022-03-11 02:24:51.817909,4444444444,xyz,Connected,0,A000004
2022-03-11 02:24:51.817909,5555555555,xyz,Connected,0,A000005
2022-03-11 02:24:51.821903,1111111111,xyz,Disconnected,2000,A000001
2022-03-11 02:24:51.821903,2222222222,xyz,Disconnected,2000,A000002
2022-03-11 02:24:51.821903,3333333333,xyz,Disconnected,2000,A000003
2022-03-11 02:24:51.821903,4444444444,xyz,Disconnected,2000,A000004
2022-03-11 02:24:51.821903,5555555555,xyz,Disconnected,2000,A000005
2022-03-11 02:24:51.823824,1111111111,xyz,Connected,0,A000001
2022-03-11 02:24:51.823824,2222222222,xyz,Connected,0,A000002
2022-03-11 02:24:51.823824,3333333333,xyz,Connected,0,A000003
2022-03-11 02:24:51.823824,4444444444,xyz,Connected,0,A000004
2022-03-11 02:24:51.823824,5555555555,xyz,Connected,0,A000005
2022-03-11 02:24:51.827883,1111111111,xyz,Disconnected,2000,A000001
2022-03-11 02:24:51.827883,2222222222,xyz,Disconnected,2000,A000002
2022-03-11 02:24:51.827883,3333333333,xyz,Disconnected,2000,A000003
2022-03-11 02:24:51.827883,4444444444,xyz,Disconnected,2000,A000004
2022-03-11 02:24:51.827883,5555555555,xyz,Disconnected,2000,A000005
2022-03-11 02:24:51.829810,1111111111,xyz,Connected,0,A000001
2022-03-11 02:24:51.829810,2222222222,xyz,Connected,0,A000002
2022-03-11 02:24:51.829810,3333333333,xyz,Connected,0,A000003
2022-03-11 02:24:51.829810,4444444444,xyz,Connected,0,A000004
2022-03-11 02:24:51.829810,5555555555,xyz,Connected,0,A000005
2022-03-11 02:24:51.833858,1111111111,xyz,Disconnected,2000,A000001
2022-03-11 02:24:51.833858,2222222222,xyz,Disconnected,2000,A000002
2022-03-11 02:24:51.833858,3333333333,xyz,Disconnected,2000,A000003
2022-03-11 02:24:51.833858,4444444444,xyz,Disconnected,2000,A000004
2022-03-11 02:24:51.833858,5555555555,xyz,Disconnected,2000,A000005
2022-03-11 02:24:51.835785,1111111111,xyz,Connected,0,A000001
2022-03-11 02:24:51.835785,2222222222,xyz,Connected,0,A000002
2022-03-11 02:24:51.835785,3333333333,xyz,Connected,0,A000003
2022-03-11 02:24:51.835785,4444444444,xyz,Connected,0,A000004
2022-03-11 02:24:51.835785,5555555555,xyz,Connected,0,A000005
2022-03-11 02:24:51.839772,1111111111,xyz,Disconnected,2000,A000001
2022-03-11 02:24:51.839772,2222222222,xyz,Disconnected,2000,A000002
2022-03-11 02:24:51.839772,3333333333,xyz,Disconnected,2000,A000003
2022-03-11 02:24:51.839772,4444444444,xyz,Disconnected,2000,A000004
2022-03-11 02:24:51.839772,5555555555,xyz,Disconnected,2000,A000005
2022-03-11 02:24:51.841764,1111111111,xyz,Connected,0,A000001
2022-03-11 02:24:51.841764,2222222222,xyz,Connected,0,A000002
2022-03-11 02:24:51.841764,3333333333,xyz,Connected,0,A000003
2022-03-11 02:24:51.841764,4444444444,xyz,Connected,0,A000004
2022-03-11 02:24:51.841764,5555555555,xyz,Connected,0,A000005
2022-03-11 02:24:51.844754,1111111111,xyz,Disconnected,2000,A000001
2022-03-11 02:24:51.844754,2222222222,xyz,Disconnected,2000,A000002
2022-03-11 02:24:51.844754,3333333333,xyz,Disconnected,2000,A000003
2022-03-11 02:24:51.844754,4444444444,xyz,Disconnected,2000,A000004
2022-03-11 02:24:51.844754,5555555555,xyz,Disconnected,2000,A000005
2022-03-11 02:24:51.845817,1111111111,xyz,Connected,0,A000001
2022-03-11 02:24:51.845817,2222222222,xyz,Connected,0,A000002
2022-03-11 02:24:51.845817,3333333333,xyz,Connected,0,A000003
2022-03-11 02:24:51.845817,4444444444,xyz,Connected,0,A000004
2022-03-11 02:24:51.845817,5555555555,xyz,Connected,0,A000005
2022-03-11 02:24:51.848775,1111111111,xyz,Disconnected,2000,A000001
2022-03-11 02:24:51.848775,2222222222,xyz,Disconnected,2000,A000002
2022-03-11 02:24:51.848775,3333333333,xyz,Disconnected,2000,A000003
2022-03-11 02:24:51.848775,4444444444,xyz,Disconnected,2000,A000004
2022-03-11 02:24:51.848775,5555555555,xyz,Disconnected,2000,A000005
2022-03-11 02:24:51.850735,1111111111,xyz,Connected,0,A000001
2022-03-11 02:24:51.850735,2222222222,xyz,Connected,0,A000002
2022-03-11 02:24:51.850735,3333333333,xyz,Connected,0,A000003
2022-03-11 02:24:51.850735,4444444444,xyz,Connected,0,A000004
2022-03-11 02:24:51.850735,5555555555,xyz,Connected,0,A000005
2022-03-11 02:24:51.853376,1111111111,xyz,Disconnected,2000,A000001
