Time,ICCID(SIM ID),Arbitrary Column,Connection Event,Bytes Used
2022-03-11 01:41:15.939670,1111111111,xyz,Connected,0
2022-03-11 01:41:15.939670,2222222222,xyz,Connected,0
2022-03-11 01:41:15.939670,3333333333,xyz,Connected,0
2022-03-11 01:41:15.939670,4444444444,xyz,Connected,0
2022-03-11 01:41:15.939670,5555555555,xyz,Connected,0
2022-03-11 01:41:15.943656,1111111111,xyz,Disconnected,2000
2022-03-11 01:41:15.943656,2222222222,xyz,Disconnected,2000
2022-03-11 01:41:15.943656,3333333333,xyz,Disconnected,2000
2022-03-11 01:41:15.943656,4444444444,xyz,Disconnected,2000
2022-03-11 01:41:15.943656,5555555555,xyz,Disconnected,2000
2022-03-11 01:41:15.945651,1111111111,xyz,Connected,0
2022-03-11 01:41:15.945651,2222222222,xyz,Connected,0
2022-03-11 01:41:15.945651,3333333333,xyz,Connected,0
2022-03-11 01:41:15.945651,4444444444,xyz,Connected,0
2022-03-11 01:41:15.945651,5555555555,xyz,Connected,0
2022-03-11 01:41:15.949636,1111111111,xyz,Disconnected,2000
2022-03-11 01:41:15.949636,2222222222,xyz,Disconnected,2000
2022-03-11 01:41:15.949636,3333333333,xyz,Disconnected,2000
2022-03-11 01:41:15.949636,4444444444,xyz,Disconnected,2000
2022-03-11 01:41:15.949636,5555555555,xyz,Disconnected,2000
2022-03-11 01:41:15.951630,1111111111,xyz,Connected,0
2022-03-11 01:41:15.951630,2222222222,xyz,Connected,0
2022-03-11 01:41:15.951630,3333333333,xyz,Connected,0
2022-03-11 01:41:15.951630,4444444444,xyz,Connected,0
2022-03-11 01:41:15.951630,5555555555,xyz,Connected,0
2022-03-11 01:41:15.955616,1111111111,xyz,Disconnected,2000
2022-03-11 01:41:15.955616,2222222222,xyz,Disconnected,2000
2022-03-11 01:41:15.955616,3333333333,xyz,Disconnected,2000
2022-03-11 01:41:15.955616,4444444444,xyz,Disconnected,2000
2022-03-11 01:41:15.955616,5555555555,xyz,Disconnected,2000
2022-03-11 01:41:15.957610,1111111111,xyz,Connected,0
2022-03-11 01:41:15.957610,2222222222,xyz,Connected,0
2022-03-11 01:41:15.957610,3333333333,xyz,Connected,0
2022-03-11 01:41:15.957610,4444444444,xyz,Connected,0
2022-03-11 01:41:15.957610,5555555555,xyz,Connected,0
2022-03-11 01:41:15.961597,1111111111,xyz,Disconnected,2000
